Title,Year,Authors,Included_(Y=yes_N=No),Comments
"Etiology, pathogenesis, and experimental treatment of retinitis pigmentosa",2000,"Baumgartner, W.A.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on retinitis pigmentosa."
Eu(2)O(3)@Cr(2)O(3) Nanoparticles-Modified Carbon Paste Electrode for Efficient Electrochemical Sensing of Neurotransmitters Precursor L-DOPA,2023,"Mijajlović, Aleksandar; Ognjanović, Miloš; Manojlović, Dragan; Vlahović, Filip; Đurđić, Slađana; Stanković, Vesna; Stanković, Dalibor",N,The study focuses on L-DOPA detection and does not mention air pollutants or Parkinson's as related to air pollution.
Evaluating the effectiveness of coagulation–flocculation treatment on a wastewater from the moroccan leather tanning industry : An ecological approach,2024,"El Mouhri, G.; Elmansouri, I.; Amakdouf, H.; Belhassan, H.; Kachkoul, R.; El Oumari, F.E.; Merzouki, M.; Lahrichi, A.",N,The study does not mention any air pollutants or Parkinson's as an adverse health outcome.
Evaluation of interactions in chemical mixtures containing cyanides,2022,"Pohl, H.; Mumtaz, M.",N,"The study focuses on cyanides, not the specified air pollutants CO, O3, NO2 or Parkinson's disease."
Evaluation of pulmonary side effects in prolactinoma patients treated with cabergoline,2023,"Soyluk, O.; Bi̇Ngöl, Z.; Doğanşen, S.; Kurtulmuş, N.; Tanrikulu, S.; Yarman, S.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome related to air pollution.
Exercise testing for detection of myocardial ischemia in patients with abnormal electrocardiograms at rest,1978,"Surawicz, B.; Saito, S.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on myocardial ischemia."
Exogenous and endogenous formaldehyde-induced DNA damage in the aging brain: mechanisms and implications for brain diseases,2024,"Tian, Zixi; Huang, Kai; Yang, Wanting; Chen, Ying; Lyv, Wanjia; Zhu, Beilei; Yang, Xu; Ma, Ping; Tong, Zhiqian",N,"The study focuses on formaldehyde, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Experience of 6-l-[18F]FDOPA Production Using Commercial Disposable Cassettes and an Automated Module,2022,"Nanabala, R.; Pillai, M.R.A.; Gopal, B.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
Exploring causality of the association between smoking and Parkinson's disease,2019,"Gallo, Valentina; Vineis, Paolo; Cancellieri, Mariagrazia; Chiodini, Paolo; Barker, Roger A.; Brayne, Carol; Pearce, Neil; Vermeulen, Roel; Panico, Salvatore; Bueno-de-Mesquita, Bas; Vanacore, Nicola; Forsgren, Lars; Ramat, Silvia; Ardanaz, Eva; Arriola, Larraitz; Peterson, Jesper; Hansson, Oskar; Gavrila, Diana; Sacerdote, Carlotta; Sieri, Sabina; Kühn, Tilman; Katzke, Verena A.; van der Schouw, Yvonne T.; Kyrozis, Andreas; Masala, Giovanna; Mattiello, Amalia; Perneczky, Robert; Middleton, Lefkos; Saracci, Rodolfo; Riboli, Elio",N,"The study focuses on smoking and Parkinson's disease, with no mention of air pollutants like CO, O3, or NO2."
Exploring the association between air pollution and Parkinson's disease or Alzheimer's disease: a Mendelian randomization study,2023,"Ning, P.; Guo, X.; Qu, Q.; Li, R.",Y,"The study investigates NO2 and PM10 exposure related to Parkinson's disease, meeting all inclusion criteria."
Exposome and unhealthy aging: environmental drivers from air pollution to occupational exposures,2023,"Pandics, Tamas; Major, David; Fazekas-Pongor, Vince; Szarvas, Zsofia; Peterfi, Anna; Mukli, Peter; Gulej, Rafal; Ungvari, Anna; Fekete, Monika; Tompa, Anna; Tarantini, Stefano; Yabluchanskiy, Andriy; Conley, Shannon; Csiszar, Anna; Tabak, Adam G.; Benyo, Zoltan; Adany, Roza; Ungvari, Zoltan",N,The article is a review and does not present primary or secondary observational studies.
Exposure of Environmental Contaminants and Development of Neurological Disorders,2021,"Rehman, K.; Irshad, K.; Kamal, S.; Imran, I.; Akash, M.S.H.",N,"No specific mention of air pollutants CO, O3, or NO2 focuses on pesticides and heavy metals instead."
Exposure to ambient air pollution and onset of Parkinson’s disease in a large cohort study,2025,"Jahanshahi, B.; McVicar, D.; Rowland, N.",N,"Study mentions PM instead of required pollutants CO, O3, NO2 and does not link Parkinson's to these pollutants."
Exposure to Environmental and Occupational Particulate Air Pollution as a Potential Contributor to Neurodegeneration and Diabetes: A Systematic Review of Epidemiological Research,2018,"Dimakakou, Eirini; Johnston, Helinor J.; Streftaris, George; Cherrie, John W.",N,"No relevant air pollutants CO, O3, NO2 mentioned focuses on particulate matter and does not explicitly mention Parkinson's."
"Exposure to low-dose ambient fine particulate matter PM2.5 and Alzheimer's disease, non-Alzheimer's dementia, and Parkinson's disease in North Carolina",2021,"Rhew, Sung Han; Kravchenko, Julia; Lyerly, H. Kim",N,"The study focuses on PM2.5, which is not one of the specified air pollutants CO, O3, NO2 required for inclusion."
"Exposure to Metals, Pesticides, and Air Pollutants: Focus on Resulting DNA Methylation Changes in Neurodegenerative Diseases",2024,"Stoccoro, Andrea; Coppedè, Fabio",N,"No specific mention of CO, O3, or NO2 as air pollutants related to Parkinson's disease."
Exposure to Mild Steel Welding and Changes in Serum Proteins With Putative Neurological Function-A Longitudinal Study,2020,"Gliga, Anda R.; Taj, Tahir; Wahlberg, Karin; Lundh, Thomas; Assarsson, Eva; Hedmer, Maria; Albin, Maria; Broberg, Karin",N,"No mention of air pollutants CO, O3, or NO2 focuses on welding fumes and neurotoxicity without linking to Parkinson's."
Exposure to particulate matter air pollution and risk of multiple sclerosis in two large cohorts of US nurses,2017,"Palacios, N.; Munger, K. L.; Fitzgerald, K. C.; Hart, J. E.; Chitnis, T.; Ascherio, A.; Laden, F.",N,"No air pollutant mentioned only particulate matter PM is discussed, which does not meet inclusion criteria."
Exposure to PM2.5 aggravates Parkinson's disease via inhibition of autophagy and mitophagy pathway,2021,"Wang, Yueqi; Li, Changjian; Zhang, Xiaojie; Kang, Xiaoxuan; Li, Yaru; Zhang, Wenyu; Chen, Yan; Liu, Yang; Wang, Weigang; Ge, Maofa; Du, Libo",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, thus does not meet inclusion criteria."
Extrapyramidal system neurotoxicity. animal models,2015,"Dorman, D.",N,The study focuses on animal models and does not involve human populations or observational studies.
Facial recognition and prosopagnosia: Past and present concepts,2001,"Goldsmith, Z.G.; Liu, G.T.",N,The article does not mention air pollutants or Parkinson's as an adverse health outcome.
Ferroptosis in the Substantia Nigra Pars Compacta of Mice: Triggering Role of Ultrafine Diesel Exhaust Particles and Mitigation by α-Lipoic Acid,2024,"Kim, Ji Young; Kim, Aryun; Kim, Jin-Hee; Gil, Young-Chun; Kim, Yong-Dae; Shin, Dong-Ick; Seo, Je Hoon",N,"The study focuses on ultrafine particulate matter, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Fine Particle Exposure and Clinical Aggravation in Neurodegenerative Diseases in New York State,2021,"Nunez, Yanelli; Boehme, Amelia K.; Weisskopf, Marc G.; Re, Diane B.; Navas-Acien, Ana; van Donkelaar, Aaron; Martin, Randall V.; Kioumourtzoglou, Marianthi-Anna",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, and does not explicitly link them to Parkinson's."
Fine Particulate Matter and Parkinson Disease Risk Among Medicare Beneficiaries,2023,"Krzyzanowski, Brittany; Searles Nielsen, Susan; Turner, Jay R.; Racette, Brad A.",N,"The study focuses on PM2.5, which is not one of the specified air pollutants CO, O3, NO2 required for inclusion."
Fine Particulate Matter Triggers α-Synuclein Fibrillization and Parkinson-like Neurodegeneration,2022,"Yuan, Xin; Yang, Yingxu; Liu, Chaoyang; Tian, Ye; Xia, Danhao; Liu, Zehua; Pan, Lina; Xiong, Min; Xiong, Jing; Meng, Lanxia; Zhang, Zhaohui; Ye, Keqiang; Jiang, Haiqiang; Zhang, Zhentao",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, thus does not meet inclusion criteria."
First detection of Mars atmospheric hydroxyl: CRISM Near-IR measurement versus LMD GCM simulation of OH Meinel band emission in the Mars polar winter atmosphere,2013,"Clancy, R.; Sandor, B.J.; García-Muñoz, A.; Lefévre, F.; Smith, M.D.; Wolff, M.J.; Montmessin, F.; Murchie, S.L.; Nair, H.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on Mars atmospheric chemistry."
FKBP3 aggravates the malignant phenotype of diffuse large B-cell lymphoma by PARK7-mediated activation of Wnt/β-catenin signalling,2024,"Xing, X.; Liu, M.; Wang, X.; Guo, Q.; Wang, H.; Wang, W.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
Flavonol-rich dark cocoa significantly decreases plasma endothelin-1 and improves cognition in urban children,2013,"Calderón-Garcidueñas, L.; Mora-Tiscareño, A.; Franco-Lira, M.; Cross, J.V.; Engle, R.; Aragón-Flores, M.; Gómez-Garza, G.; Jewells, V.; Medina-Cortína, H.; Solorio, E.; Chao, C.-K.; Hongtu Zhu, H.; Mukherjee, P.S.; Ferreira-Azevedo, L.; Torres-Jardón, R.; D'Angiulli, A.",N,"No mention of specific air pollutants CO, O3, NO2 or Parkinson's as an adverse health outcome."
Forkhead box O3 protects the heart against paraquat-induced aging-associated phenotypes by upregulating the expression of antioxidant enzymes,2019,"Chang, Z.-S.; Xia, J.-B.; Wu, H.-Y.; Peng, W.-T.; Jiang, F.-Q.; Li, J.; Liang, C.-Q.; Zhao, H.; Park, K.-S.; Song, G.-H.; Kim, S.-K.; Huang, R.; Zheng, L.; Cai, D.-Q.; Qi, X.-F.",N,"No air pollutants mentioned focuses on paraquat and cardiac aging, not on CO, O3, or NO2 related to Parkinson's."
"Forkhead Box O3a requires BAF57, a subunit of chromatin remodeler SWI/SNF complex for induction of p53 up-regulated modulator of apoptosis (Puma) in a model of Parkinson’s disease",2020,"Sanphui, P.; Kumar das, A.; Biswas, S.C.",N,"The study does not mention any of the specified air pollutants CO, O3, NO2 related to Parkinson's."
FOXO3 determines the accumulation of α-synuclein and controls the fate of dopaminergic neurons in the substantia nigra,2014,"Pino, E.; Amamoto, R.; Zheng, L.; Cacquevel, M.; Sarria, J.-C.; Knott, G.W.; Schneider, B.L.",N,The study does not mention any air pollutants related to Parkinson's disease.
FOXO3a-dependent regulation of Pink1 (Park6) mediates survival signaling in response to cytokine deprivation,2009,"Mei, Yang; Zhang, Yiru; Yamamoto, Kazuo; Xie, Wei; Mak, Tak W.; You, Han",N,The study does not mention any air pollutants or link Parkinson's to air pollution.
"Free Radicals: Properties, Sources, Targets, and Their Implication in Various Diseases",2015,"Alugoju, A.; Jestadi, D.B.; Periyasamy, L.",N,The article is a review and does not focus on observational studies related to air pollutants and Parkinson's.
From Mitochondrial Function to Neuroprotection—an Emerging Role for Methylene Blue,2018,"Tucker, D.; Lu, Y.; Zhang, Q.",N,The article is a review and does not present primary or secondary observational studies.
From Seeds of Apium graveolens Linn. To a Cerebral Ischemia Medicine. To Long Journey of 3- n-Butylphthalide,2020,"Marco-Contelles, J.; Zhang, Y.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on pharmacological properties of 3-n-Butylphthalide."
From stroke to neurodegenerative diseases: The multi-target neuroprotective effects of 3-n-butylphthalide and its derivatives,2018,"Huang, L.; Wang, S.; Ma, F.; Zhang, Y.; Peng, Y.; Xing, C.; Feng, Y.; Wang, X.; Peng, Y.",N,The article is a review and does not mention any air pollutants or Parkinson's as an adverse health outcome.
Future trends in semiconducting gas-selective sensing probes for skin diagnostics,2021,"Annerino, A.; Gouma, P.-I.",N,Does not focus on Parkinson's as an outcome related to air pollutants mainly discusses gas sensing for various diseases.
Gas geyser syndrome: An important preventable cause of disabling neurological events,2013,"Correia, P.; Agrawal, C.; Ranjan, R.",Y,"The study mentions carbon monoxide and links it to early Parkinsonian features, meeting all inclusion criteria."
Gasotransmitter hydrogen sulfide signaling in neuronal health and disease,2018,"Paul, B.D.; Snyder, S.H.",N,"The study focuses on hydrogen sulfide, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Gastro retentive microspheres-drugs for parkinson’s disease,2021,"Prasanthi, R.; Haarika, B.; Selvamuthukumar, S.",N,The article focuses on drug delivery systems and does not investigate air pollutants related to Parkinson's disease.
Gene-environment interactions linking air pollution and inflammation in Parkinson's disease,2016,"Lee, P.-C.; Raaschou-Nielsen, O.; Lill, C.M.; Bertram, L.; Sinsheimer, J.S.; Hansen, J.; Ritz, B.",Y,"The study investigates NO exposure related to Parkinson's disease, meeting all inclusion criteria."
Genetic effects of welding fumes on the progression of neurodegenerative diseases,2019,"Rana, Humayan Kabir; Akhtar, Mst Rashida; Ahmed, Mohammad Boshir; Liò, Pietro; Quinn, Julian M. W.; Huq, Fazlul; Moni, Mohammad Ali",N,"No air pollutants CO, O3, NO2 mentioned focuses on welding fumes instead."
"Genetic Profile, Environmental Exposure, and Their Interaction in Parkinson's Disease",2016,"Polito, Letizia; Greco, Antonio; Seripa, Davide",N,The article is a review and does not present primary or secondary observational study data.
Genetic susceptibility modifies the association of long-term air pollution exposure on Parkinson’s disease,2024,"Huang, Y.-M.; Ma, Y.-H.; Gao, P.-Y.; Cui, X.-H.; Hou, J.-H.; Chi, H.-C.; Fu, Y.; Wang, Z.-B.; Feng, J.-F.; Cheng, W.; Tan, L.; Yu, J.-T.",N,"The study mentions PM but does not include CO or O3, which are required pollutants."
Genetics and the neurodegenerations: Musings of a gadfly,2012,"Stern, G.",N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
Geospatial analysis of environmental atmospheric risk factors in neurodegenerative diseases: A systematic review,2020,"Oliveira, M.; Padrão, A.; Ramalho, A.; Lobo, M.; Teodoro, A.C.; Gonçalves, H.; Freitas, A.",N,"This is a systematic review, not an observational study, and does not focus specifically on Parkinson's related to air pollutants."
Geospatial analysis of environmental atmospheric risk factors in neurodegenerative diseases: a systematic review update,2024,"Oliveira, M.; Padrão, A.; Teodoro, A.C.; Freitas, A.; Gonçalves, H.",N,This is a systematic review and does not present original observational study data.
Geospatial analysis of individual-based Parkinson's disease data supports a link with air pollution: A case-control study,2021,"Fleury, V.; Himsl, R.; Joost, S.; Nicastro, N.; Béreau, M.; Guessous, I.; Burkhard, P.R.",Y,"The study is observational, mentions nitrogen dioxide as an air pollutant, and explicitly links Parkinson's disease to air pollution."
